NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,URSGALLDAT,SENGALLDAT,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND
2000639,Gnäggen,Naturreservat,Gällande,"""1970-04-08T00:00:00.000Z""","""1970-04-08T00:00:00.000Z""","""1970-04-08T00:00:00.000Z""",Västernorrlands Län,Kramfors,"III, Naturmonument (Natural Monument)",Länsstyrelsen i Västernorrlands län,28.49,2.5,26.03,0,Ospecificerad,III R11-17-69,Naturvårdslagen,Länsstyrelse
2001672,Skeppsviksskärgården,Naturreservat,Gällande,"""1974-05-06T00:00:00.000Z""","""1974-06-06T00:00:00.000Z""","""1974-06-06T00:00:00.000Z""",Västerbottens Län,Umeå,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västerbottens län,494.94,60.02,434.96,48.118,Ospecificerad,"11.111-2371-71, 11.131-253-81 / Ej miljöbalksbeslu",Naturvårdslagen,Länsstyrelse
2000912,Kilbäcksskiftet,Naturreservat,Gällande,"""2002-05-07T00:00:00.000Z""","""2002-06-27T00:00:00.000Z""","""2002-06-27T00:00:00.000Z""",Jämtlands Län,Härjedalen,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Jämtlands län,1396.19,1393.66,2.5,19.487,Slutligt inmätt,511-4514-02,Miljöbalken,Länsstyrelse
2014918,Herrgårdsklint,Naturreservat,Gällande,"""2009-09-28T00:00:00.000Z""","""2009-10-28T00:00:00.000Z""","""2009-10-28T00:00:00.000Z""",Gotlands Län,Gotland,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Gotlands län,146.28,146.31,0,112.103,Slutligt inmätt,511-4297-09,Miljöbalken,Länsstyrelse
2005598,Norra Lien,Naturreservat,Gällande,"""2006-11-21T00:00:00.000Z""","""2007-02-06T00:00:00.000Z""","""2008-01-28T00:00:00.000Z""",Värmlands Län,Eda,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Värmlands län,109.02,107.12,1.92,83.579,Slutligt inmätt,511-12438-02,Miljöbalken,Länsstyrelse
2041031,Vilhatten,Naturreservat,Gällande,"""2013-12-13T00:00:00.000Z""","""2014-01-08T00:00:00.000Z""","""2014-01-08T00:00:00.000Z""",Norrbottens Län,Älvsbyn,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Norrbottens län,215.25,215.21,0,189.826,Delvis inmätt,511-9812-11,Miljöbalken,Länsstyrelse
2014564,Garpkölen,Naturreservat,Gällande,"""2009-09-29T00:00:00.000Z""","""2009-10-30T00:00:00.000Z""","""2009-10-30T00:00:00.000Z""",Gävleborgs Län,Ljusdal,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Gävleborgs län,79.75,79.66,0,79.619,Slutligt inmätt,511-1797-09,Miljöbalken,Länsstyrelse
2027551,Morlanda Berga klev,Naturreservat,Gällande,"""1945-12-10T00:00:00.000Z""","""1946-01-10T00:00:00.000Z""","""1946-01-10T00:00:00.000Z""",Västra Götalands Län,Orust,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Västkuststiftelsen,1.05,0.99,0,0.847,Ospecificerad,,Miljöbalken,Länsstyrelse
2002244,Björkö,Naturreservat,Gällande,"""1980-03-11T00:00:00.000Z""","""1980-04-18T00:00:00.000Z""","""1980-04-18T00:00:00.000Z""",Kalmar Län,Västervik,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Kalmar län,979.44,298.18,681.09,224.389,Ospecificerad,"11.1211-11-12-71, Rr 341",Naturvårdslagen,Länsstyrelse
2001090,Åstarpe mosse,Naturreservat,Gällande,"""2000-09-22T00:00:00.000Z""","""2000-10-30T00:00:00.000Z""","""2000-10-30T00:00:00.000Z""",Hallands Län,Laholm,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Hallands län,188.94,189.03,0,166.762,Slutligt inmätt,231-2829-00,Miljöbalken,Länsstyrelse
2001893,Kattskär,Naturreservat,Gällande,"""1959-05-15T00:00:00.000Z""","""1959-06-12T00:00:00.000Z""","""1959-06-12T00:00:00.000Z""",Västmanlands Län,Västerås,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Västerås kommun,3.13,3.08,0.01,3.068,Justerad mot fastighetskarta,III R-I-59,Naturvårdslagen,Länsstyrelse
2031429,Båtarna,Naturreservat,Gällande,"""2012-11-05T00:00:00.000Z""","""2012-12-11T00:00:00.000Z""","""2012-12-11T00:00:00.000Z""",Dalarnas Län,Älvdalen,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Dalarnas län,161.91,158.79,2.99,57.565,Slutligt inmätt,511-5716-2011,Miljöbalken,Länsstyrelse
